model,family,dataset_id,seed,lambda,status,error_message,n_train,n_flipped,noisy_train_accuracy,clean_train_accuracy,clean_test_accuracy,clean_test_auc,train_test_gap,noisy_label_fit_rate,clean_label_recovery_rate,confidence_on_flipped_samples
logreg,linear,digits,1,0.0,ok,,1257,0,0.9992044550517104,0.9992044550517104,0.9574074074074074,0.9984965169085369,0.04179704764430303,,,
logreg,linear,digits,1,0.05,ok,,1257,63,0.9443118536197295,0.9824980111376292,0.9203703703703704,0.9936152507940775,0.023941483249359075,0.1111111111111111,0.873015873015873,0.14165242718170934
logreg,linear,digits,1,0.1,ok,,1257,126,0.8902147971360382,0.9649960222752586,0.9018518518518519,0.9909353857116047,-0.011637054715813666,0.10317460317460317,0.8492063492063492,0.12959355650364104
logreg,linear,digits,1,0.2,ok,,1257,251,0.7764518695306285,0.9307875894988067,0.8574074074074074,0.9868547262547566,-0.0809555378767789,0.06374501992031872,0.8366533864541833,0.10911220532511315
logreg,linear,digits,1,0.3,ok,,1257,377,0.6754176610978521,0.918854415274463,0.8685185185185185,0.9809753831237534,-0.1931008574206664,0.05570291777188329,0.8673740053050398,0.09895978812400305
logreg,linear,digits,1,0.4,ok,,1257,503,0.5871121718377088,0.8798727128082736,0.7870370370370371,0.9715953151472096,-0.19992486519932828,0.08548707753479125,0.8170974155069582,0.11485946433899932
hist_gbdt,gbdt,digits,1,0.0,ok,,1257,0,1.0,1.0,0.9666666666666667,0.9990500915828353,0.033333333333333326,,,
hist_gbdt,gbdt,digits,1,0.05,ok,,1257,63,1.0,0.9498806682577565,0.9629629629629629,0.9992097432037788,0.03703703703703709,1.0,0.0,0.9998551650605723
hist_gbdt,gbdt,digits,1,0.1,ok,,1257,126,1.0,0.8997613365155132,0.9518518518518518,0.9985431006181866,0.04814814814814816,1.0,0.0,0.999854065637781
hist_gbdt,gbdt,digits,1,0.2,ok,,1257,251,1.0,0.8003182179793158,0.9166666666666666,0.996197384878384,0.08333333333333337,1.0,0.0,0.9998237164594517
hist_gbdt,gbdt,digits,1,0.3,ok,,1257,377,1.0,0.700079554494829,0.8833333333333333,0.9922196191607588,0.1166666666666667,1.0,0.0,0.9996555628737905
hist_gbdt,gbdt,digits,1,0.4,ok,,1257,503,1.0,0.5998408910103421,0.8685185185185185,0.9871764202730263,0.13148148148148153,1.0,0.0,0.9994231097901145
xgboost,gbdt,digits,1,0.0,ok,,1257,0,1.0,1.0,0.9574074074074074,0.9989927441827915,0.042592592592592626,,,
xgboost,gbdt,digits,1,0.05,ok,,1257,63,1.0,0.9498806682577565,0.9444444444444444,0.9987497996514728,0.05555555555555558,1.0,0.0,0.9624087252314129
xgboost,gbdt,digits,1,0.1,ok,,1257,126,1.0,0.8997613365155132,0.9333333333333333,0.9973413466176885,0.06666666666666665,1.0,0.0,0.9708939473780375
xgboost,gbdt,digits,1,0.2,ok,,1257,251,1.0,0.8003182179793158,0.9203703703703704,0.9951766820913257,0.0796296296296296,1.0,0.0,0.9779461118804507
xgboost,gbdt,digits,1,0.3,ok,,1257,377,1.0,0.700079554494829,0.8648148148148148,0.9894129439328114,0.13518518518518519,1.0,0.0,0.9801520542377502
xgboost,gbdt,digits,1,0.4,ok,,1257,503,1.0,0.5998408910103421,0.8074074074074075,0.9819507539710681,0.19259259259259254,1.0,0.0,0.9818813946564676
catboost,gbdt,digits,1,0.0,ok,,1257,0,1.0,1.0,0.9703703703703703,0.9996445585072854,0.029629629629629672,,,
catboost,gbdt,digits,1,0.05,ok,,1257,63,0.9992044550517104,0.9506762132060461,0.9574074074074074,0.9994248455036807,0.04179704764430303,0.9841269841269841,0.015873015873015872,0.7575764638013786
catboost,gbdt,digits,1,0.1,ok,,1257,126,1.0,0.8997613365155132,0.9592592592592593,0.9990671774219997,0.040740740740740744,1.0,0.0,0.7343677444031425
catboost,gbdt,digits,1,0.2,ok,,1257,251,1.0,0.8003182179793158,0.9481481481481482,0.9980520068322282,0.051851851851851816,1.0,0.0,0.7632658399891902
catboost,gbdt,digits,1,0.3,ok,,1257,377,1.0,0.700079554494829,0.9037037037037037,0.9933584935342026,0.09629629629629632,1.0,0.0,0.7301525804714736
catboost,gbdt,digits,1,0.4,ok,,1257,503,1.0,0.5998408910103421,0.8481481481481481,0.9859159851079984,0.1518518518518519,1.0,0.0,0.742977177164486
tabicl,icl,digits,1,0.0,ok,,1257,0,1.0,1.0,0.9944444444444445,0.9999585781878005,0.005555555555555536,,,
tabicl,icl,digits,1,0.05,ok,,1257,63,0.9514717581543357,0.9984089101034208,0.9944444444444445,0.9999806185825528,-0.04297268629010875,0.031746031746031744,0.9682539682539683,0.09692598889685339
tabicl,icl,digits,1,0.1,ok,,1257,126,0.8997613365155132,0.9968178202068417,0.9833333333333333,0.9999074318582034,-0.08357199681782013,0.015873015873015872,0.9841269841269841,0.06690485287635099
tabicl,icl,digits,1,0.2,ok,,1257,251,0.8058870326173428,0.9920445505171042,0.987037037037037,0.9998805743961077,-0.1811500044196942,0.03187250996015936,0.9641434262948207,0.07360217206373039
tabicl,icl,digits,1,0.3,ok,,1257,377,0.7024661893396977,0.9904534606205251,0.9796296296296296,0.9998296055611966,-0.2771634402899319,0.015915119363395226,0.9761273209549072,0.06366209094400273
tabicl,icl,digits,1,0.4,ok,,1257,503,0.6022275258552108,0.9880668257756563,0.9833333333333333,0.9995549931946789,-0.3811058074781225,0.013916500994035786,0.9781312127236581,0.06838903699077621
tabpfn,icl,digits,1,0.0,ok,,1257,0,1.0,1.0,0.9925925925925926,0.999938744194159,0.007407407407407418,,,
