model,dataset_id,shift_axis,base_seed,rho,n_lambda,n_failed,max_lambda
catboost_tuned,wdbc,label_noise,1337,0.0,6,5,0.4
catboost_tuned,wdbc,label_noise,2025,0.1,6,3,0.4
gbdt_ensemble,GesturePhaseSegmentation,covariate_shift,42,0.0,6,5,0.4
gbdt_ensemble,GesturePhaseSegmentation,covariate_shift,1337,0.0,6,5,0.4
gbdt_ensemble,GesturePhaseSegmentation,covariate_shift,2025,0.0,6,5,0.4
gbdt_ensemble,GesturePhaseSegmentation,label_noise,42,0.1,6,3,0.4
gbdt_ensemble,GesturePhaseSegmentation,label_noise,1337,0.1,6,3,0.4
gbdt_ensemble,GesturePhaseSegmentation,label_noise,2025,0.05,6,4,0.4
gbdt_ensemble,MiceProtein,covariate_shift,42,0.05,6,4,0.4
gbdt_ensemble,MiceProtein,covariate_shift,1337,0.05,6,4,0.4
gbdt_ensemble,MiceProtein,covariate_shift,2025,0.05,6,4,0.4
gbdt_ensemble,MiceProtein,label_noise,42,0.0,6,5,0.4
gbdt_ensemble,MiceProtein,label_noise,1337,0.0,6,5,0.4
gbdt_ensemble,MiceProtein,label_noise,2025,0.0,6,5,0.4
gbdt_ensemble,PhishingWebsites,covariate_shift,42,0.4,6,0,0.4
gbdt_ensemble,PhishingWebsites,covariate_shift,1337,0.4,6,0,0.4
gbdt_ensemble,PhishingWebsites,covariate_shift,2025,0.4,6,0,0.4
gbdt_ensemble,PhishingWebsites,label_noise,42,0.0,6,5,0.4
gbdt_ensemble,PhishingWebsites,label_noise,1337,0.0,6,5,0.4
gbdt_ensemble,PhishingWebsites,label_noise,2025,0.0,6,5,0.4
gbdt_ensemble,analcatdata_authorship,covariate_shift,42,0.05,6,4,0.4
gbdt_ensemble,analcatdata_authorship,covariate_shift,1337,0.05,6,4,0.4
gbdt_ensemble,analcatdata_authorship,covariate_shift,2025,0.05,6,4,0.4
gbdt_ensemble,analcatdata_authorship,label_noise,42,0.1,6,3,0.4
gbdt_ensemble,analcatdata_authorship,label_noise,1337,0.1,6,3,0.4
gbdt_ensemble,analcatdata_authorship,label_noise,2025,0.1,6,3,0.4
gbdt_ensemble,breast-w,covariate_shift,42,0.1,6,3,0.4
gbdt_ensemble,breast-w,covariate_shift,1337,0.1,6,3,0.4
gbdt_ensemble,breast-w,covariate_shift,2025,0.1,6,3,0.4
gbdt_ensemble,breast-w,label_noise,42,0.05,6,4,0.4
gbdt_ensemble,breast-w,label_noise,1337,0.05,6,4,0.4
gbdt_ensemble,breast-w,label_noise,2025,0.05,6,4,0.4
gbdt_ensemble,car,covariate_shift,42,0.4,6,0,0.4
gbdt_ensemble,car,covariate_shift,1337,0.4,6,0,0.4
gbdt_ensemble,car,covariate_shift,2025,0.4,6,0,0.4
gbdt_ensemble,car,label_noise,42,0.0,6,5,0.4
gbdt_ensemble,car,label_noise,1337,0.0,6,5,0.4
gbdt_ensemble,car,label_noise,2025,0.05,6,4,0.4
gbdt_ensemble,churn,covariate_shift,42,0.05,6,4,0.4
gbdt_ensemble,churn,covariate_shift,1337,0.05,6,4,0.4
gbdt_ensemble,churn,covariate_shift,2025,0.05,6,4,0.4
gbdt_ensemble,churn,label_noise,42,0.05,6,4,0.4
gbdt_ensemble,churn,label_noise,1337,0.05,6,4,0.4
gbdt_ensemble,churn,label_noise,2025,0.05,6,4,0.4
gbdt_ensemble,climate-model-simulation-crashes,covariate_shift,42,0.3,6,1,0.4
gbdt_ensemble,climate-model-simulation-crashes,covariate_shift,1337,0.1,6,3,0.4
gbdt_ensemble,climate-model-simulation-crashes,covariate_shift,2025,0.1,6,3,0.4
gbdt_ensemble,climate-model-simulation-crashes,label_noise,42,0.05,6,4,0.4
gbdt_ensemble,climate-model-simulation-crashes,label_noise,1337,0.0,6,5,0.4
gbdt_ensemble,climate-model-simulation-crashes,label_noise,2025,0.0,6,5,0.4
gbdt_ensemble,cmc,covariate_shift,42,0.0,6,6,0.4
gbdt_ensemble,cmc,covariate_shift,1337,0.0,6,6,0.4
gbdt_ensemble,cmc,covariate_shift,2025,0.0,6,6,0.4
gbdt_ensemble,cmc,label_noise,42,0.0,6,6,0.4
gbdt_ensemble,cmc,label_noise,1337,0.0,6,6,0.4
gbdt_ensemble,cmc,label_noise,2025,0.0,6,6,0.4
gbdt_ensemble,cnae-9,covariate_shift,42,0.0,6,6,0.4
gbdt_ensemble,cnae-9,covariate_shift,1337,0.0,6,6,0.4
gbdt_ensemble,cnae-9,covariate_shift,2025,0.0,6,6,0.4
gbdt_ensemble,cnae-9,label_noise,42,0.0,6,6,0.4
gbdt_ensemble,cnae-9,label_noise,1337,0.0,6,6,0.4
gbdt_ensemble,cnae-9,label_noise,2025,0.0,6,6,0.4
gbdt_ensemble,credit-approval,covariate_shift,42,0.05,6,4,0.4
gbdt_ensemble,credit-approval,covariate_shift,1337,0.0,6,5,0.4
gbdt_ensemble,credit-approval,covariate_shift,2025,0.0,6,5,0.4
gbdt_ensemble,credit-approval,label_noise,42,0.1,6,3,0.4
gbdt_ensemble,credit-approval,label_noise,1337,0.05,6,4,0.4
