model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda
tabpfn_client,mfeat-karhunen,covariate_shift,0.1,6,3,0.4
tabpfn_client,mfeat-karhunen,label_noise,0.1,6,3,0.4
tabpfn_client,mfeat-morphological,covariate_shift,0.0,6,5,0.4
tabpfn_client,mfeat-morphological,label_noise,0.1,6,3,0.4
tabpfn_client,mfeat-zernike,covariate_shift,0.1,6,3,0.4
tabpfn_client,mfeat-zernike,label_noise,0.1,6,3,0.4
tabpfn_client,optdigits,covariate_shift,0.0,6,5,0.4
tabpfn_client,optdigits,label_noise,0.1,6,3,0.4
tabpfn_client,ozone-level-8hr,covariate_shift,0.1,6,3,0.4
tabpfn_client,ozone-level-8hr,label_noise,0.05,6,4,0.4
tabpfn_client,pc1,covariate_shift,0.0,6,5,0.4
tabpfn_client,pc1,label_noise,0.05,6,4,0.4
tabpfn_client,pc3,covariate_shift,0.05,6,4,0.4
tabpfn_client,pc3,label_noise,0.05,6,4,0.4
tabpfn_client,pc4,covariate_shift,0.0,6,5,0.4
tabpfn_client,pc4,label_noise,0.05,6,4,0.4
tabpfn_client,pendigits,covariate_shift,0.05,6,4,0.4
tabpfn_client,pendigits,label_noise,0.1,6,3,0.4
tabpfn_client,phoneme,covariate_shift,0.0,6,5,0.4
tabpfn_client,phoneme,label_noise,0.0,6,5,0.4
tabpfn_client,qsar-biodeg,covariate_shift,0.0,6,5,0.4
tabpfn_client,qsar-biodeg,label_noise,0.05,6,4,0.4
tabpfn_client,satimage,covariate_shift,0.05,6,4,0.4
tabpfn_client,satimage,label_noise,0.05,6,4,0.4
tabpfn_client,segment,covariate_shift,0.0,6,5,0.4
tabpfn_client,segment,label_noise,0.1,6,3,0.4
tabpfn_client,spambase,covariate_shift,0.0,6,5,0.4
tabpfn_client,spambase,label_noise,0.05,6,4,0.4
tabpfn_client,splice,covariate_shift,0.4,6,0,0.4
tabpfn_client,splice,label_noise,0.05,6,4,0.4
tabpfn_client,steel-plates-fault,covariate_shift,0.0,6,5,0.4
tabpfn_client,steel-plates-fault,label_noise,0.05,6,4,0.4
tabpfn_client,texture,covariate_shift,0.1,6,3,0.4
tabpfn_client,texture,label_noise,0.1,6,3,0.4
tabpfn_client,tic-tac-toe,covariate_shift,0.4,6,0,0.4
tabpfn_client,tic-tac-toe,label_noise,0.05,6,4,0.4
tabpfn_client,vehicle,covariate_shift,0.05,6,4,0.4
tabpfn_client,vehicle,label_noise,0.1,6,3,0.4
tabpfn_client,vowel,covariate_shift,0.1,6,3,0.4
tabpfn_client,vowel,label_noise,0.1,6,3,0.4
tabpfn_client,wall-robot-navigation,covariate_shift,0.0,6,5,0.4
tabpfn_client,wall-robot-navigation,label_noise,0.05,6,4,0.4
tabpfn_client,wdbc,covariate_shift,0.05,6,4,0.4
tabpfn_client,wdbc,label_noise,0.1,6,3,0.4
xgboost,GesturePhaseSegmentation,covariate_shift,0.0,6,6,0.4
xgboost,GesturePhaseSegmentation,label_noise,0.0,6,4,0.4
xgboost,MiceProtein,covariate_shift,0.0,6,5,0.4
xgboost,MiceProtein,label_noise,0.1,6,3,0.4
xgboost,PhishingWebsites,covariate_shift,0.4,6,0,0.4
xgboost,PhishingWebsites,label_noise,0.0,6,5,0.4
xgboost,analcatdata_authorship,covariate_shift,0.1,6,3,0.4
