model,dataset_id,shift_axis,rho,n_lambda,n_failed,max_lambda,base_seed
tabicl,splice,covariate_shift,0.4,6,0,0.4,2025
tabicl,splice,label_noise,0.1,6,3,0.4,2025
tabicl,steel-plates-fault,covariate_shift,0.0,6,5,0.4,2025
tabicl,steel-plates-fault,label_noise,0.05,6,4,0.4,2025
tabicl,vehicle,covariate_shift,0.1,6,3,0.4,2025
tabicl,vehicle,label_noise,0.1,6,3,0.4,2025
tabicl,wdbc,covariate_shift,0.05,6,4,0.4,2025
tabicl,wdbc,label_noise,0.1,6,3,0.4,2025
tabpfn_client,car,covariate_shift,0.4,6,0,0.4,2025
tabpfn_client,car,label_noise,0.05,6,4,0.4,2025
tabpfn_client,churn,covariate_shift,0.05,6,4,0.4,2025
tabpfn_client,churn,label_noise,0.0,6,5,0.4,2025
tabpfn_client,credit-approval,covariate_shift,0.0,6,5,0.4,2025
tabpfn_client,credit-approval,label_noise,0.1,6,3,0.4,2025
tabpfn_client,credit-g,covariate_shift,0.3,6,1,0.4,2025
tabpfn_client,credit-g,label_noise,0.1,6,3,0.4,2025
tabpfn_client,eucalyptus,covariate_shift,0.0,6,5,0.4,2025
tabpfn_client,eucalyptus,label_noise,0.05,6,4,0.4,2025
tabpfn_client,kr-vs-kp,covariate_shift,0.4,6,0,0.4,2025
tabpfn_client,kr-vs-kp,label_noise,0.0,6,5,0.4,2025
tabpfn_client,optdigits,covariate_shift,0.0,6,5,0.4,2025
tabpfn_client,optdigits,label_noise,0.1,6,3,0.4,2025
tabpfn_client,pc1,covariate_shift,0.05,6,4,0.4,2025
tabpfn_client,pc1,label_noise,0.05,6,4,0.4,2025
tabpfn_client,splice,covariate_shift,0.4,6,0,0.4,2025
tabpfn_client,splice,label_noise,0.05,6,4,0.4,2025
tabpfn_client,steel-plates-fault,covariate_shift,0.0,6,5,0.4,2025
tabpfn_client,steel-plates-fault,label_noise,0.05,6,4,0.4,2025
tabpfn_client,vehicle,covariate_shift,0.1,6,3,0.4,2025
tabpfn_client,vehicle,label_noise,0.05,6,4,0.4,2025
tabpfn_client,wdbc,covariate_shift,0.05,6,4,0.4,2025
tabpfn_client,wdbc,label_noise,0.1,6,3,0.4,2025
xgboost,car,covariate_shift,0.4,6,0,0.4,2025
xgboost,car,label_noise,0.05,6,4,0.4,2025
xgboost,churn,covariate_shift,0.0,6,6,0.4,2025
xgboost,churn,label_noise,0.0,6,6,0.4,2025
xgboost,credit-approval,covariate_shift,0.0,6,6,0.4,2025
xgboost,credit-approval,label_noise,0.0,6,6,0.4,2025
xgboost,credit-g,covariate_shift,0.0,6,6,0.4,2025
xgboost,credit-g,label_noise,0.0,6,6,0.4,2025
xgboost,eucalyptus,covariate_shift,0.0,6,6,0.4,2025
xgboost,eucalyptus,label_noise,0.0,6,6,0.4,2025
xgboost,kr-vs-kp,covariate_shift,0.4,6,0,0.4,2025
xgboost,kr-vs-kp,label_noise,0.0,6,5,0.4,2025
xgboost,optdigits,covariate_shift,0.1,6,3,0.4,2025
xgboost,optdigits,label_noise,0.2,6,2,0.4,2025
xgboost,pc1,covariate_shift,0.0,6,5,0.4,2025
xgboost,pc1,label_noise,0.0,6,5,0.4,2025
xgboost,splice,covariate_shift,0.4,6,0,0.4,2025
xgboost,splice,label_noise,0.1,6,3,0.4,2025
xgboost,steel-plates-fault,covariate_shift,0.4,6,0,0.4,2025
xgboost,steel-plates-fault,label_noise,0.05,6,4,0.4,2025
xgboost,vehicle,covariate_shift,0.0,6,6,0.4,2025
xgboost,vehicle,label_noise,0.0,6,6,0.4,2025
xgboost,wdbc,covariate_shift,0.0,6,5,0.4,2025
xgboost,wdbc,label_noise,0.1,6,3,0.4,2025
