sel_acc_80,cov_at_risk10,aurc,accuracy,model,family,dataset_id,shift_axis,shift_lambda,status,seed
0.8,0.22943722943722944,0.13845519819530525,0.7445887445887446,hist_gbdt,gbdt,diabetes,label_noise,0.0,ok,42
0.7945945945945946,0.39826839826839827,0.1468477223368132,0.7619047619047619,hist_gbdt,gbdt,diabetes,label_noise,0.05,ok,42
0.7405405405405405,0.19480519480519481,0.1846076427323222,0.6753246753246753,hist_gbdt,gbdt,diabetes,label_noise,0.1,ok,42
0.6648648648648648,0.025974025974025976,0.2805976955368514,0.645021645021645,hist_gbdt,gbdt,diabetes,label_noise,0.2,ok,42
0.6810810810810811,0.11688311688311688,0.23294688966605726,0.670995670995671,hist_gbdt,gbdt,diabetes,label_noise,0.3,ok,42
0.5837837837837838,0.012987012987012988,0.40632365492481426,0.5844155844155844,hist_gbdt,gbdt,diabetes,label_noise,0.4,ok,42
0.8,0.22943722943722944,0.13845519819530525,0.7445887445887446,hist_gbdt,gbdt,diabetes,covariate_shift,0.0,ok,42
0.7621621621621621,0.2943722943722944,0.1634404798489634,0.7142857142857143,hist_gbdt,gbdt,diabetes,covariate_shift,0.05,ok,42
0.7351351351351352,0.2813852813852814,0.16330812768819927,0.7056277056277056,hist_gbdt,gbdt,diabetes,covariate_shift,0.1,ok,42
0.6216216216216216,0.06060606060606061,0.28911061727666276,0.6190476190476191,hist_gbdt,gbdt,diabetes,covariate_shift,0.2,ok,42
0.5513513513513514,0.012987012987012988,0.3926108493099115,0.5281385281385281,hist_gbdt,gbdt,diabetes,covariate_shift,0.3,ok,42
0.4486486486486487,0.012987012987012988,0.503929155240742,0.4458874458874459,hist_gbdt,gbdt,diabetes,covariate_shift,0.4,ok,42
0.7891891891891892,0.36796536796536794,0.14393513115942075,0.7272727272727273,xgboost,gbdt,diabetes,label_noise,0.0,ok,42
0.7675675675675676,0.22510822510822512,0.16144241110182117,0.7142857142857143,xgboost,gbdt,diabetes,label_noise,0.05,ok,42
0.7405405405405405,0.30735930735930733,0.1574121053069857,0.7012987012987013,xgboost,gbdt,diabetes,label_noise,0.1,ok,42
0.6324324324324324,0.004329004329004329,0.3087506066050937,0.5887445887445888,xgboost,gbdt,diabetes,label_noise,0.2,ok,42
0.654054054054054,0.12987012987012986,0.26758647406125885,0.6406926406926406,xgboost,gbdt,diabetes,label_noise,0.3,ok,42
0.5567567567567567,0.0,0.4300759207557358,0.5627705627705628,xgboost,gbdt,diabetes,label_noise,0.4,ok,42
0.7891891891891892,0.36796536796536794,0.14393513115942075,0.7272727272727273,xgboost,gbdt,diabetes,covariate_shift,0.0,ok,42
0.7567567567567568,0.30303030303030304,0.16246537076247083,0.7229437229437229,xgboost,gbdt,diabetes,covariate_shift,0.05,ok,42
0.7297297297297297,0.2727272727272727,0.17236307254937905,0.6666666666666666,xgboost,gbdt,diabetes,covariate_shift,0.1,ok,42
0.6648648648648648,0.05194805194805195,0.27747468922316054,0.6277056277056277,xgboost,gbdt,diabetes,covariate_shift,0.2,ok,42
0.5513513513513514,0.017316017316017316,0.42267677981516705,0.5411255411255411,xgboost,gbdt,diabetes,covariate_shift,0.3,ok,42
0.4540540540540541,0.008658008658008658,0.5462024509622406,0.4588744588744589,xgboost,gbdt,diabetes,covariate_shift,0.4,ok,42
0.7945945945945946,0.3593073593073593,0.1217525672663126,0.7489177489177489,catboost,gbdt,diabetes,label_noise,0.0,ok,42
0.8108108108108109,0.4458874458874459,0.11580162749063495,0.7662337662337663,catboost,gbdt,diabetes,label_noise,0.05,ok,42
0.7945945945945946,0.44155844155844154,0.1328548550629611,0.7142857142857143,catboost,gbdt,diabetes,label_noise,0.1,ok,42
0.7621621621621621,0.19047619047619047,0.1853340510185228,0.696969696969697,catboost,gbdt,diabetes,label_noise,0.2,ok,42
0.7567567567567568,0.22077922077922077,0.16159718489662536,0.7142857142857143,catboost,gbdt,diabetes,label_noise,0.3,ok,42
0.6648648648648648,0.021645021645021644,0.31128932164327844,0.645021645021645,catboost,gbdt,diabetes,label_noise,0.4,ok,42
0.7945945945945946,0.3593073593073593,0.1217525672663126,0.7489177489177489,catboost,gbdt,diabetes,covariate_shift,0.0,ok,42
0.7837837837837838,0.43722943722943725,0.12814512905329248,0.7402597402597403,catboost,gbdt,diabetes,covariate_shift,0.05,ok,42
0.745945945945946,0.2813852813852814,0.1485549294142086,0.696969696969697,catboost,gbdt,diabetes,covariate_shift,0.1,ok,42
0.6054054054054054,0.10822510822510822,0.26494706511080596,0.6103896103896104,catboost,gbdt,diabetes,covariate_shift,0.2,ok,42
0.518918918918919,0.008658008658008658,0.39391438878502677,0.5194805194805194,catboost,gbdt,diabetes,covariate_shift,0.3,ok,42
0.42702702702702705,0.008658008658008658,0.5133742272429944,0.4155844155844156,catboost,gbdt,diabetes,covariate_shift,0.4,ok,42
0.827027027027027,0.47619047619047616,0.11236448223840344,0.7532467532467533,tabicl,icl,diabetes,label_noise,0.0,ok,42
0.8378378378378378,0.5541125541125541,0.10923270951824801,0.7619047619047619,tabicl,icl,diabetes,label_noise,0.05,ok,42
0.8162162162162162,0.5757575757575758,0.10987795389353394,0.7316017316017316,tabicl,icl,diabetes,label_noise,0.1,ok,42
0.7837837837837838,0.27705627705627706,0.14509599097704912,0.7619047619047619,tabicl,icl,diabetes,label_noise,0.2,ok,42
0.8162162162162162,0.3333333333333333,0.12374159910943647,0.7575757575757576,tabicl,icl,diabetes,label_noise,0.3,ok,42
0.6972972972972973,0.021645021645021644,0.23776545755616252,0.6753246753246753,tabicl,icl,diabetes,label_noise,0.4,ok,42
0.827027027027027,0.47619047619047616,0.11236448223840344,0.7532467532467533,tabicl,icl,diabetes,covariate_shift,0.0,ok,42
0.8,0.4458874458874459,0.1187886954271298,0.7359307359307359,tabicl,icl,diabetes,covariate_shift,0.05,ok,42
0.7837837837837838,0.38961038961038963,0.1366460063219132,0.70995670995671,tabicl,icl,diabetes,covariate_shift,0.1,ok,42
0.6378378378378379,0.15151515151515152,0.23637366256833023,0.6233766233766234,tabicl,icl,diabetes,covariate_shift,0.2,ok,42
0.5297297297297298,0.04329004329004329,0.36540913700680794,0.5194805194805194,tabicl,icl,diabetes,covariate_shift,0.3,ok,42
0.43243243243243246,0.0,0.46905414733594014,0.4155844155844156,tabicl,icl,diabetes,covariate_shift,0.4,ok,42
0.8162162162162162,0.2683982683982684,0.11837376740120707,0.7575757575757576,tabpfn,icl,diabetes,label_noise,0.0,ok,42
0.8324324324324325,0.4155844155844156,0.11071441706157582,0.7792207792207793,tabpfn,icl,diabetes,label_noise,0.05,ok,42
0.8108108108108109,0.3116883116883117,0.12245502174337966,0.7186147186147186,tabpfn,icl,diabetes,label_noise,0.1,ok,42
0.7891891891891892,0.30735930735930733,0.13794290305451365,0.7662337662337663,tabpfn,icl,diabetes,label_noise,0.2,ok,42
0.8,0.3246753246753247,0.1296360187177239,0.7359307359307359,tabpfn,icl,diabetes,label_noise,0.3,ok,42
0.6972972972972973,0.030303030303030304,0.2276206764741635,0.683982683982684,tabpfn,icl,diabetes,label_noise,0.4,ok,42
0.8162162162162162,0.2683982683982684,0.11837376740120707,0.7575757575757576,tabpfn,icl,diabetes,covariate_shift,0.0,ok,42
0.7891891891891892,0.39826839826839827,0.12465361647988027,0.7445887445887446,tabpfn,icl,diabetes,covariate_shift,0.05,ok,42
0.772972972972973,0.44155844155844154,0.14849253700142587,0.7012987012987013,tabpfn,icl,diabetes,covariate_shift,0.1,ok,42
0.6432432432432432,0.22077922077922077,0.24197028196554465,0.6017316017316018,tabpfn,icl,diabetes,covariate_shift,0.2,ok,42
0.5135135135135135,0.11255411255411256,0.35374920781423747,0.49783549783549785,tabpfn,icl,diabetes,covariate_shift,0.3,ok,42
0.42162162162162165,0.08658008658008658,0.4378157872532765,0.41125541125541126,tabpfn,icl,diabetes,covariate_shift,0.4,ok,42
1.0,1.0,0.0021489950215984833,0.9666666666666667,logreg,linear,breast-w,label_noise,0.0,ok,42
1.0,1.0,0.002350090655567825,0.9666666666666667,logreg,linear,breast-w,label_noise,0.05,ok,42
1.0,1.0,0.0030897379387602245,0.9523809523809523,logreg,linear,breast-w,label_noise,0.1,ok,42
0.9821428571428571,1.0,0.00541791775698855,0.9571428571428572,logreg,linear,breast-w,label_noise,0.2,ok,42
0.9880952380952381,1.0,0.009386628367137105,0.9428571428571428,logreg,linear,breast-w,label_noise,0.3,ok,42
0.9642857142857143,0.9619047619047619,0.043532561685413404,0.8809523809523809,logreg,linear,breast-w,label_noise,0.4,ok,42
1.0,1.0,0.0021489950215984833,0.9666666666666667,logreg,linear,breast-w,covariate_shift,0.0,ok,42
0.9821428571428571,1.0,0.004791061590167711,0.9714285714285714,logreg,linear,breast-w,covariate_shift,0.05,ok,42
0.9821428571428571,1.0,0.016474280963807205,0.9666666666666667,logreg,linear,breast-w,covariate_shift,0.1,ok,42
0.9523809523809523,0.9333333333333333,0.04351445714798834,0.8809523809523809,logreg,linear,breast-w,covariate_shift,0.2,ok,42
0.4523809523809524,0.38095238095238093,0.27813796584743183,0.4523809523809524,logreg,linear,breast-w,covariate_shift,0.3,ok,42
0.42857142857142855,0.38095238095238093,0.2947999438125253,0.34285714285714286,logreg,linear,breast-w,covariate_shift,0.4,ok,42
1.0,1.0,0.0031549585543859593,0.9571428571428572,hist_gbdt,gbdt,breast-w,label_noise,0.0,ok,42
0.9761904761904762,1.0,0.013043187595228656,0.9619047619047619,hist_gbdt,gbdt,breast-w,label_noise,0.05,ok,42
0.9880952380952381,1.0,0.01004057531926065,0.9523809523809523,hist_gbdt,gbdt,breast-w,label_noise,0.1,ok,42
