model,cell,in_common,rho_grid,rho_self
tabpfn_client,"('eucalyptus', 'label_noise')",False,0.05,0.05
tabpfn_client,"('first-order-theorem-proving', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('first-order-theorem-proving', 'label_noise')",False,0.2,0.1
tabpfn_client,"('ilpd', 'covariate_shift')",False,0.0,0.05
tabpfn_client,"('ilpd', 'label_noise')",False,0.0,0.1
tabpfn_client,"('kc1', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('kc1', 'label_noise')",False,0.1,0.05
tabpfn_client,"('kr-vs-kp', 'covariate_shift')",False,0.4,0.4
tabpfn_client,"('kr-vs-kp', 'label_noise')",False,0.05,0.05
tabpfn_client,"('mfeat-factors', 'covariate_shift')",True,0.2,0.1
tabpfn_client,"('mfeat-factors', 'label_noise')",True,0.1,0.1
tabpfn_client,"('mfeat-fourier', 'covariate_shift')",True,0.1,0.05
tabpfn_client,"('mfeat-fourier', 'label_noise')",True,0.1,0.05
tabpfn_client,"('mfeat-karhunen', 'covariate_shift')",True,0.2,0.1
tabpfn_client,"('mfeat-karhunen', 'label_noise')",True,0.1,0.1
tabpfn_client,"('mfeat-morphological', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('mfeat-morphological', 'label_noise')",False,0.1,0.1
tabpfn_client,"('mfeat-zernike', 'covariate_shift')",False,0.1,0.1
tabpfn_client,"('mfeat-zernike', 'label_noise')",False,0.1,0.1
tabpfn_client,"('optdigits', 'covariate_shift')",True,0.0,0.0
tabpfn_client,"('optdigits', 'label_noise')",True,0.1,0.1
tabpfn_client,"('ozone-level-8hr', 'covariate_shift')",False,0.2,0.1
tabpfn_client,"('ozone-level-8hr', 'label_noise')",False,0.05,0.05
tabpfn_client,"('pc1', 'covariate_shift')",False,0.0,0.05
tabpfn_client,"('pc1', 'label_noise')",False,0.05,0.05
tabpfn_client,"('pc3', 'covariate_shift')",False,0.05,0.05
tabpfn_client,"('pc3', 'label_noise')",False,0.05,0.05
tabpfn_client,"('pc4', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('pc4', 'label_noise')",False,0.05,0.05
tabpfn_client,"('pendigits', 'covariate_shift')",True,0.05,0.05
tabpfn_client,"('pendigits', 'label_noise')",True,0.1,0.1
tabpfn_client,"('phoneme', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('phoneme', 'label_noise')",False,0.1,0.05
tabpfn_client,"('qsar-biodeg', 'covariate_shift')",False,0.0,0.0
tabpfn_client,"('qsar-biodeg', 'label_noise')",False,0.05,0.05
